V_S,V_D,I_D
0.5,0.44,0.0006
1,0.715,0.00285
1.5,1.228,0.00272
2,1.584,0.00416
2.5,1.935,0.00565
3,2.362,0.00638
3.5,2.691,0.00809
4,3.099,0.00901
4.5,3.465,0.01035
5,3.824,0.01176
5.5,4.2,0.013
6,4.57,0.0143
6.5,5.01,0.0149
7,5.15,0.0185
7.5,5.17,0.0233
8,5.19,0.0281
8.5,5.21,0.0329
9,5.22,0.0378
9.5,5.23,0.0427
10,5.25,0.0475
