V_S,V_D,I_D
0.1,0.087,0.00013
0.2,0.196,0.0000400000000000001
0.3,0.277,0.00023
0.4,0.349,0.000510000000000001
0.5,0.39,0.0011
0.6,0.512,0.00088
0.7,0.551,0.00149
0.8,0.636,0.00164
0.9,0.7,0.002
1,0.706,0.00294
1.1,0.732,0.00368
1.2,0.743,0.00457
1.5,0.759,0.00741
2,0.775,0.01225
2.5,0.787,0.01713
3,0.796,0.02204
3.5,0.801,0.02699
4,0.809,0.03191
4.5,0.814,0.03686
5,0.819,0.04181
5.5,0.822,0.04678
6,0.826,0.05174
6.5,0.828,0.05672
7,0.837,0.06163
7.5,0.837,0.06663
8,0.84,0.0716
