V_S,V_D,I_D
0.1,0.113,-0.00013
0.2,0.2,0
0.3,0.278,0.00022
0.5,0.42,0.0008
0.6,0.529,0.00071
0.8,0.632,0.00168
1,0.711,0.00289
1.2,0.747,0.00453
1.4,0.76,0.0064
1.5,0.765,0.00735
2,0.783,0.01217
2.5,0.793,0.01707
3,0.801,0.02199
3.5,0.806,0.02694
4,0.812,0.03188
4.5,0.817,0.03683
5,0.82,0.0418
5.5,0.823,0.04677
6,0.826,0.05174
6.5,0.83,0.0567
7,0.832,0.06168
