V_S,V_D,I_D
0.5,0.391,0.00109
1,0.791,0.00209
1.5,1.159,0.00341
2,1.586,0.00414
2.5,1.939,0.00561
3,2.348,0.00652
3.5,2.685,0.00815
4,3.09,0.0091
4.5,3.454,0.01046
5,3.896,0.01104
5.5,4.28,0.0122
6,4.64,0.0136
6.5,4.96,0.0154
7,5.37,0.0163
7.5,5.8,0.017
8,6.16,0.0184
8.5,6.49,0.0201
9,6.72,0.0228
9.5,6.75,0.0275
10,6.77,0.0323
10.5,6.81,0.0369
11,6.83,0.0417
11.5,6.85,0.0465
12,6.88,0.0512
