V_S,V_D,I_D
0.2,0.276,-0.00076
0.6,0.66,-0.000600000000000001
1,1.059,-0.000589999999999999
1.2,1.252,-0.000520000000000001
1.6,1.634,-0.000339999999999998
2,1.89,0.0011
2.2,1.931,0.00269
2.4,1.956,0.00444
2.6,1.969,0.00631
2.8,1.984,0.00816
3,1.992,0.01008
3.5,2.007,0.01493
4,2.015,0.01985
4.5,2.024,0.02476
